location,city,country,utc,local,latitude,longitude,no2,co,pm25,pm10,o3,unit,attribution
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T18:30:00.000Z,2020-05-01T00:00:00+05:30,28.6573814,77.1585447,18.31,2190,43.06,0,9.2,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T18:15:00.000Z,2020-04-30T23:45:00+05:30,28.6573814,77.1585447,21.78,2120,39.6,0,13.07,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T18:00:00.000Z,2020-04-30T23:30:00+05:30,28.6573814,77.1585447,21.08,2110,31.18,0,14.1,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T17:30:00.000Z,2020-04-30T23:00:00+05:30,28.6573814,77.1585447,22.73,2060,32.83,0,13.85,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T17:00:00.000Z,2020-04-30T22:30:00+05:30,28.6573814,77.1585447,20.41,2000,59.54,0,11.98,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T16:30:00.000Z,2020-04-30T22:00:00+05:30,28.6573814,77.1585447,19.54,1780,52.37,0,13.41,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T15:45:00.000Z,2020-04-30T21:15:00+05:30,28.6573814,77.1585447,21.6,1630,60.32,0,11.45,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T15:00:00.000Z,2020-04-30T20:30:00+05:30,28.6573814,77.1585447,17.52,1660,56.77,0,14.13,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T14:30:00.000Z,2020-04-30T20:00:00+05:30,28.6573814,77.1585447,14.1,1640,60.93,0,17.46,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"North Campus, DU, Delhi - IMD",Delhi,IN,2020-04-30T14:00:00.000Z,2020-04-30T19:30:00+05:30,28.6573814,77.1585447,12.16,1630,54.49,0,11.13,µg/m³,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
